,,,,
,Ngày,Mã Cửa Hàng,Doanh Thu,Chi Phí
,7-Jan,CH 0261,20942,19307
,7-Jan,CH 0262,20034,18597
,7-Jan,CH 0263,20712,18668
,7-Jan,CH 0264,19733,18177
,7-Jan,CH 0265,17264,16037
,7-Jan,CH 0266,18241,16166
,7-Jan,CH 0267,23275,21753
,7-Jan,CH 0268,34058,31522
,7-Jan,CH 0269,40031,37329
,7-Jan,CH 0270,18563,16224
,7-Jan,CH 0271,6102,5128
,7-Jan,CH 0272,25156,21647
,7-Jan,CH 0273,7384,6188
,7-Jan,CH 0274,13721,12396
,7-Jan,CH 0275,41720,36509
,7-Jan,CH 0276,15479,13785
,7-Jan,CH 0277,8403,7677
,7-Jan,CH 0278,44972,40202
,7-Jan,CH 0279,15524,14385
,7-Jan,CH 0280,17515,14935
,7-Jan,CH 0281,39252,33070
,7-Jan,CH 0282,41111,37686
,7-Jan,CH 0283,39008,33258
,7-Jan,CH 0284,11700,9973
,7-Jan,CH 0285,9509,8323
,7-Jan,CH 0286,18877,17189
,7-Jan,CH 0287,36452,31483
,7-Jan,CH 0288,34206,29180
,7-Jan,CH 0289,14829,11866
,7-Jan,CH 0290,10063,9437
,7-Jan,CH 0291,11400,9516
,7-Jan,CH 0292,17692,15199
,7-Jan,CH 0293,15746,13176
,7-Jan,CH 0294,6842,5898
,7-Jan,CH 0295,14867,13131
,7-Jan,CH 0296,40260,34380
,7-Jan,CH 0297,28978,23550
,7-Jan,CH 0298,35621,32862
,7-Jan,CH 0299,25377,21098
,7-Jan,CH 0300,9452,8774
,7-Jan,CH 0301,57696,51191
,7-Jan,CH 0302,4225,3945
,7-Jan,CH 0303,20620,19002
,7-Jan,CH 0304,41471,35743
,7-Jan,CH 0305,35975,31067
,7-Jan,CH 0306,15262,12985
,7-Jan,CH 0307,16114,12939
,7-Jan,CH 0308,17555,15570
,7-Jan,CH 0309,28204,26230
,7-Jan,CH 0310,18475,15692
,7-Jan,CH 0311,41499,37847
,7-Jan,CH 0312,4381,3920
,7-Jan,CH 0313,18004,15481
,7-Jan,CH 0314,12353,11232
,7-Jan,CH 0315,12690,10309
,7-Jan,CH 0316,20453,18563
,7-Jan,CH 0317,32123,27141
,7-Jan,CH 0318,35690,33883
,7-Jan,CH 0319,8916,8203
,7-Jan,CH 0320,17483,14429
,7-Jan,CH 0321,6073,5003
,7-Jan,CH 0322,16828,13723
,7-Jan,CH 0323,23346,19730
,7-Jan,CH 0324,30595,27617
,7-Jan,CH 0325,19475,17533
,7-Jan,CH 0326,32913,30325
,7-Jan,CH 0327,11146,10382
,7-Jan,CH 0328,30838,28247
,7-Jan,CH 0329,14936,12573
,7-Jan,CH 0330,1266,1035
,7-Jan,CH 0331,10791,9552
,7-Jan,CH 0332,18129,14584
,7-Jan,CH 0333,21022,17903
,7-Jan,CH 0334,18746,16269
,7-Jan,CH 0335,35435,32172
,7-Jan,CH 0336,20675,19536
,7-Jan,CH 0337,33578,28625
,7-Jan,CH 0338,22509,19976
,7-Jan,CH 0339,49207,42597
,7-Jan,CH 0340,25345,21358
,7-Jan,CH 0341,24571,22991
,7-Jan,CH 0342,17473,14902
,7-Jan,CH 0343,8299,7548
,7-Jan,CH 0344,5102,4138
,7-Jan,CH 0345,4492,3896
,7-Jan,CH 0346,12598,11750
,7-Jan,CH 0347,29555,24639
,7-Jan,CH 0348,20785,16772
,7-Jan,CH 0349,32952,30167
,7-Jan,CH 0350,12308,11616
,7-Jan,CH 0351,21658,20434
,7-Jan,CH 0352,25046,22696
,7-Jan,CH 0353,35361,30669
,7-Jan,CH 0354,5641,4696
,7-Jan,CH 0355,25383,23879
,7-Jan,CH 0356,24052,21785
,7-Jan,CH 0357,14257,12080
,7-Jan,CH 0358,7093,5977
,7-Jan,CH 0359,8874,7334
,7-Jan,CH 0360,15256,12340
,7-Jan,CH 0361,28614,23934
,7-Jan,CH 0362,16607,13743
,7-Jan,CH 0363,5085,4595
,7-Jan,CH 0364,26041,20913
,7-Jan,CH 0365,19866,16024
,7-Jan,CH 0366,7986,6881
,7-Jan,CH 0367,31277,28832
,7-Jan,CH 0368,46578,38696
,7-Jan,CH 0369,42141,37842
,7-Jan,CH 0370,10545,9833
,7-Jan,CH 0371,46392,37168
,7-Jan,CH 0372,26901,25271
,7-Jan,CH 0373,25477,22734
,7-Jan,CH 0374,22424,19017
,7-Jan,CH 0375,31984,25769
,7-Jan,CH 0376,10056,8515
,7-Jan,CH 0377,37682,34820
,7-Jan,CH 0378,19097,17897
,7-Jan,CH 0379,29225,25995
,7-Jan,CH 0380,13844,12402
,7-Jan,CH 0381,16802,15568
,7-Jan,CH 0382,29314,26719
,7-Jan,CH 0383,14726,12791
,7-Jan,CH 0384,15697,12564
,7-Jan,CH 0385,27492,24781
,7-Jan,CH 0386,8087,6769
,7-Jan,CH 0387,30991,25786
,7-Jan,CH 0388,31315,25202
,7-Jan,CH 0389,10592,9870
,7-Jan,CH 0390,56375,48602
,7-Jan,CH 0391,7479,6499
,7-Jan,CH 0392,11591,10179
,7-Jan,CH 0393,12406,11195
,7-Jan,CH 0394,33534,29879
,7-Jan,CH 0395,44274,38690
,7-Jan,CH 0396,52495,47109
,7-Jan,CH 0397,19076,16009
,7-Jan,CH 0398,13053,11425
,7-Jan,CH 0399,13349,11900
,7-Jan,CH 0401,28393,24917
,7-Jan,CH 0402,30013,26381
,7-Jan,CH 0403,43569,37680
,7-Jan,CH 0404,14209,12436
,7-Jan,CH 0405,37244,32131
,7-Jan,CH 0406,20645,19216
,7-Jan,CH 0407,39693,36126
,7-Jan,CH 0408,35042,32911
,7-Jan,CH 0409,38279,32748
,7-Jan,CH 0410,15490,12920
,7-Jan,CH 0411,6873,6005
,7-Jan,CH 0412,31802,30092
,7-Jan,CH 0413,45611,38244
,7-Jan,CH 0414,15554,14531
,7-Jan,CH 0415,15699,14281
,7-Jan,CH 0416,23015,19959
,7-Jan,CH 0417,21519,17924
,7-Jan,CH 0418,49592,46679
,7-Jan,CH 0419,27772,24482
,7-Jan,CH 0420,30392,27518
,7-Jan,CH 0421,27073,22727
,7-Jan,CH 0422,16501,14986
,7-Jan,CH 0423,21389,18709
,7-Jan,CH 0424,26178,23666
,7-Jan,CH 0425,28562,24421
,7-Jan,CH 0426,32365,28693
,7-Jan,CH 0427,31199,28119
,7-Jan,CH 0428,14971,12996
,7-Jan,CH 0429,31601,26752
,7-Jan,CH 0430,64254,59131
,7-Jan,CH 0431,23970,20912
,7-Jan,CH 0432,27883,25825
,7-Jan,CH 0433,12694,11678
,7-Jan,CH 0434,36106,32134
,7-Jan,CH 0435,26372,23224
,7-Jan,CH 0436,28299,26449
,7-Jan,CH 0437,25437,21872
,7-Jan,CH 0438,23353,19469
,7-Jan,CH 0439,21718,19863
,7-Jan,CH 0440,5805,4965
,7-Jan,CH 0441,14599,11690
,7-Jan,CH 0442,14950,12829
,7-Jan,CH 0443,16456,13173
,7-Jan,CH 0444,30693,26174
,7-Jan,CH 0445,15429,14064
,7-Jan,CH 0446,34149,27548
,7-Jan,CH 0447,39204,31961
,7-Jan,CH 0448,31924,28743
,7-Jan,CH 0449,15347,12320
,7-Jan,CH 0450,31148,25013
,7-Jan,CH 0451,17452,16524
,7-Jan,CH 0452,23871,22355
,7-Jan,CH 0453,10035,8569
,7-Jan,CH 0454,21277,18852
,7-Jan,CH 0455,38749,31301
,7-Jan,CH 0456,19284,15568
,7-Jan,CH 0457,18218,14765
,7-Jan,CH 0458,21430,18906
,7-Jan,CH 0459,19589,18452
,7-Jan,CH 0460,48772,43378
,7-Jan,CH 0461,17310,16279
,7-Jan,CH 0462,36782,30281
,7-Jan,CH 0463,16517,15411
,7-Jan,CH 0464,43987,37920
,7-Jan,CH 0465,17301,15022
,7-Jan,CH 0466,25460,23142
,7-Jan,CH 0467,18749,17027
,7-Jan,CH 0468,36884,31603
,7-Jan,CH 0469,12745,11878
,7-Jan,CH 0470,8354,7594
,7-Jan,CH 0471,20284,18389
,7-Jan,CH 0472,57303,46920
,7-Jan,CH 0473,6655,5523
,7-Jan,CH 0474,22594,19717
,7-Jan,CH 0475,54743,49551
,7-Jan,CH 0476,28463,24572
,7-Jan,CH 0477,2805,2304
,7-Jan,CH 0478,86,72
,7-Jan,CH 0479,29287,25551
,7-Jan,CH 0480,5409,4880
,7-Jan,CH 0481,8160,6864
,7-Jan,CH 0482,10972,9177
,7-Jan,CH 0483,820,661
,7-Jan,CH 0484,10175,9260
,7-Jan,CH 0485,8398,7462
,7-Jan,CH 0486,10298,8811
,7-Jan,CH 0487,2481,2051
,7-Jan,CH 0488,3851,3654
,7-Jan,CH 0489,2486,2034
,7-Jan,CH 0490,714,651
,7-Jan,CH 0491,4916,4236
,7-Jan,CH 0492,2961,2378
,7-Jan,CH 0493,13973,11517
,7-Jan,CH 0494,16501,13851
,7-Jan,CH 0495,3186,2965
,7-Jan,CH 0496,779,720
,7-Jan,CH 0497,1389,1287
,7-Jan,CH 0498,4552,4195
,7-Jan,CH 0499,7333,6854
,7-Jan,CH 0500,5527,4910
,7-Jan,CH 0501,4138,3589
,7-Jan,CH 0502,3155,2962
,7-Jan,CH 0503,27571,24992
,7-Jan,CH 0504,35201,28660
,7-Jan,CH 0505,47614,41282
,7-Jan,CH 0506,36762,32085
,7-Jan,CH 0507,47881,41290
,7-Jan,CH 0508,32042,27334
,7-Jan,CH 0509,23750,19568
,7-Jan,CH 0510,34363,30093
,7-Jan,CH 0511,42571,39108
,7-Jan,CH 0512,22341,18565
,7-Jan,CH 0513,6162,5541
,7-Jan,CH 0514,18896,17926
,7-Jan,CH 0515,43678,39301
,7-Jan,CH 0516,36498,33491
,7-Jan,CH 0517,41731,34250
,7-Jan,CH 0518,37453,30611
,7-Jan,CH 0519,34014,28417
,7-Jan,CH 0520,52989,46862
,7-Jan,CH 0521,16372,13466
,7-Jan,CH 0522,50899,44252
,7-Jan,CH 0523,15813,13617
,7-Jan,CH 0524,45196,40820
,7-Jan,CH 0525,55831,47979
,7-Jan,CH 0526,33582,30052
,7-Jan,CH 0527,4862,4201
,7-Jan,CH 0528,21338,18039
,7-Jan,CH 0529,41889,34846
,7-Jan,CH 0530,18527,16445
,7-Jan,CH 0531,37507,30611
,7-Jan,CH 0532,30562,28694
,7-Jan,CH 0533,43852,35344
,7-Jan,CH 0534,4867,4425
,7-Jan,CH 0535,52499,42685
,7-Jan,CH 0536,38762,32266
,7-Jan,CH 0537,32623,27218
,7-Jan,CH 0538,40536,34209
,7-Jan,CH 0539,55,45
,7-Jan,CH 0540,3928,3679
,7-Jan,CH 0541,18589,15064
,7-Jan,CH 0542,30491,26066
,7-Jan,CH 0543,37954,33048
,7-Jan,CH 0544,26367,21215
,7-Jan,CH 0545,24900,23073
,7-Jan,CH 0546,42674,37573
,7-Jan,CH 0547,270,253
,7-Jan,CH 0548,36293,32102
,7-Jan,CH 0549,24259,20675
,7-Jan,CH 0550,38633,32805
,7-Jan,CH 0551,36368,30609
,7-Jan,CH 0552,29422,26717
,7-Jan,CH 0553,36499,29936
,7-Jan,CH 0554,36937,31742
,7-Jan,CH 0555,45059,38529
,7-Jan,CH 0556,6102,5157
,7-Jan,CH 0557,17033,15783
,7-Jan,CH 0558,31438,27913
,7-Jan,CH 0559,40471,36536
,7-Jan,CH 0560,26957,24319
,7-Jan,CH 0561,25935,21251
,7-Jan,CH 0562,45196,41914
,7-Jan,CH 0563,34576,29142
,7-Jan,CH 0564,41302,35587
,7-Jan,CH 0565,36905,32942
,7-Jan,CH 0566,20729,18195
,7-Jan,CH 0567,36394,30992
,7-Jan,CH 0568,55226,52362
,7-Jan,CH 0569,28225,26538
,7-Jan,CH 0570,35161,28638
,7-Jan,CH 0571,34187,32041
,7-Jan,CH 0572,22046,19277
,7-Jan,CH 0573,38386,33358
,7-Jan,CH 0574,19078,16880
,7-Jan,CH 0575,28350,23208
,7-Jan,CH 0576,32413,29012
,7-Jan,CH 0577,36291,30597
,7-Jan,CH 0578,18921,15322
,7-Jan,CH 0579,29623,24606
,7-Jan,CH 0580,25744,23345
,7-Jan,CH 0581,29322,27610
,7-Jan,CH 0582,19145,15767
,7-Jan,CH 0583,45870,39522
,7-Jan,CH 0584,2318,2195
,7-Jan,CH 0585,24300,21776
,7-Jan,CH 0586,42325,37231
,7-Jan,CH 0587,25923,23965
,7-Jan,CH 0588,38516,31679
,7-Jan,CH 0589,44174,36477
,7-Jan,CH 0590,21771,19071
,7-Jan,CH 0591,34884,28480
,7-Jan,CH 0592,43954,36231
,7-Jan,CH 0593,28086,24075
,7-Jan,CH 0594,28071,22683
,7-Jan,CH 0595,4616,3854
,7-Jan,CH 0596,36107,32371
,7-Jan,CH 0597,39557,34493
,7-Jan,CH 0598,42292,39317
,7-Jan,CH 0599,23069,20497
,7-Jan,CH 0600,24169,22638
,7-Jan,CH 0601,29030,27372
,7-Jan,CH 0602,42539,37699
,7-Jan,CH 0603,36912,29563
,7-Jan,CH 0604,27875,22793
,7-Jan,CH 0605,36130,33630
,7-Jan,CH 0606,31409,26924
,7-Jan,CH 0607,26225,23348
,7-Jan,CH 0608,29520,24460
,7-Jan,CH 0609,26641,22557
,7-Jan,CH 0610,5074,4717
,7-Jan,CH 0611,14511,13694
,7-Jan,CH 0612,31725,28228
,7-Jan,CH 0613,45380,37522
,7-Jan,CH 0614,44168,40067
,7-Jan,CH 0615,29356,25429
,7-Jan,CH 0616,36557,34548
,7-Jan,CH 0617,39670,34628
,7-Jan,CH 0618,28434,24282
,7-Jan,CH 0619,32985,29385
,7-Jan,CH 0620,21012,19481
,7-Jan,CH 0621,27907,22458
,7-Jan,CH 0622,30100,27556
,7-Jan,CH 0623,51716,43545
,7-Jan,CH 0624,12212,11249
,7-Jan,CH 0625,18056,16466
,7-Jan,CH 0626,18333,15792
,7-Jan,CH 0627,12633,11582
,7-Jan,CH 0628,20147,17963
,7-Jan,CH 0629,38822,32184
,7-Jan,CH 0630,33148,28834
,7-Jan,CH 0631,25058,23271
,7-Jan,CH 0632,29591,27540
,7-Jan,CH 0633,29981,27020
,7-Jan,CH 0634,34690,31480
,7-Jan,CH 0635,17648,16734
,7-Jan,CH 0636,19087,15560
,7-Jan,CH 0637,4483,3770
,7-Jan,CH 0638,5715,4683
,7-Jan,CH 0639,20931,18875
,7-Jan,CH 0640,18110,14792
,7-Jan,CH 0641,53688,44008
,7-Jan,CH 0642,31180,25684
,7-Jan,CH 0643,43579,41308
,7-Jan,CH 0644,17223,15894
,7-Jan,CH 0645,53080,49656
,7-Jan,CH 0646,51956,45575
,7-Jan,CH 0647,39059,36361
,7-Jan,CH 0648,26969,25136
,7-Jan,CH 0649,18127,16958
,7-Jan,CH 0650,48589,41671
,7-Jan,CH 0651,38102,33449
,7-Jan,CH 0652,20362,17430
,7-Jan,CH 0653,27420,25130
,7-Jan,CH 0654,31655,26524
,7-Jan,CH 0655,27191,25151
,7-Jan,CH 0656,42497,38903
,7-Jan,CH 0657,43610,38054
,7-Jan,CH 0659,35418,29934
,7-Jan,CH 0660,36216,32231
,7-Jan,CH 0661,28566,26223
,7-Jan,CH 0662,12823,10348
,7-Jan,CH 0663,692,634
,7-Jan,CH 0664,534,445
,7-Jan,CH 0665,2274,2055
,7-Jan,CH 0666,2012,1875
,7-Jan,CH 0667,7125,6467
,7-Jan,CH 0668,1167,1032
,7-Jan,CH 0669,11777,10215
,7-Jan,CH 0670,2506,2020
,7-Jan,CH 0671,8336,7753
,7-Jan,CH 0672,4566,3763
,7-Jan,CH 0673,1763,1438
,7-Jan,CH 0674,293,235
,7-Jan,CH 0675,13472,11906
,7-Jan,CH 0676,1886,1711
,7-Jan,CH 0677,2391,2209
,7-Jan,CH 0678,686,614
,7-Jan,CH 0679,8441,7134
,7-Jan,CH 0680,2145,1926
,7-Jan,CH 0681,3774,3553
,7-Jan,CH 0682,2010,1896
,7-Jan,CH 0683,13792,11894
,7-Jan,CH 0684,6876,5517
,7-Jan,CH 0685,9583,9053
,7-Jan,CH 0686,5436,4765
,7-Jan,CH 0687,29456,24475
,7-Jan,CH 0688,20016,16485
,7-Jan,CH 0689,28494,23925
,7-Jan,CH 0690,41734,34883
,7-Jan,CH 0691,26114,23935
,7-Jan,CH 0692,51518,47583
,7-Jan,CH 0693,34586,29437
,7-Jan,CH 0694,32956,27241
,7-Jan,CH 0695,45600,41572
,7-Jan,CH 0696,25894,21218
,7-Jan,CH 0697,22104,19716
,7-Jan,CH 0698,20856,18586
,7-Jan,CH 0699,33877,29716
,7-Jan,CH 0700,34700,29168
,7-Jan,CH 0701,31584,26442
,7-Jan,CH 0702,1217,1151
,7-Jan,CH 0703,15250,14410
,7-Jan,CH 0704,8518,6854
,7-Jan,CH 0705,37306,32991
,7-Jan,CH 0706,21674,20116
,7-Jan,CH 0707,12840,10435
,7-Jan,CH 0708,35642,29816
,7-Jan,CH 0709,24265,20053
,7-Jan,CH 0710,876,758
,7-Jan,CH 0711,40759,38376
,7-Jan,CH 0712,43121,36693
,7-Jan,CH 0713,30604,24695
,7-Jan,CH 0714,35918,33614
,7-Jan,CH 0715,23861,21104
,7-Jan,CH 0716,17909,15043
,7-Jan,CH 0717,19948,18467
,7-Jan,CH 0718,13806,12204
,7-Jan,CH 0719,5415,4611
,7-Jan,CH 0720,22635,19994
,7-Jan,CH 0721,37628,33715
,7-Jan,CH 0722,21852,20598
,7-Jan,CH 0723,25313,21017
,7-Jan,CH 0724,25290,23326
,7-Jan,CH 0725,28835,26753
,7-Jan,CH 0726,41155,38885
,7-Jan,CH 0727,23625,22146
,7-Jan,CH 0728,19352,18113
,7-Jan,CH 0729,23740,20247
,7-Jan,CH 0730,6099,5294
,7-Jan,CH 0731,13223,11503
,7-Jan,CH 0732,17417,15112
,7-Jan,CH 0733,39261,36427
,7-Jan,CH 0734,17526,15669
,7-Jan,CH 0735,13133,11594
,7-Jan,CH 0736,23002,20185
,7-Jan,CH 0737,33832,30132
,7-Jan,CH 0738,14847,13916
,7-Jan,CH 0739,8730,8003
,7-Jan,CH 0740,11024,9979
,7-Jan,CH 0741,15130,12803
,7-Jan,CH 0742,36855,32604
,7-Jan,CH 0743,18718,16173
,7-Jan,CH 0744,3302,2822
,7-Jan,CH 0745,34047,29212
,7-Jan,CH 0746,34912,28653
,7-Jan,CH 0747,33982,29116
,7-Jan,CH 0748,20438,18123
,7-Jan,CH 0749,21206,18404
,7-Jan,CH 0750,11800,10272
,7-Jan,CH 0751,39793,31976
,7-Jan,CH 0752,41878,38221
,7-Jan,CH 0753,25692,24051
,7-Jan,CH 0754,32446,29721
,7-Jan,CH 0755,28807,23060
,7-Jan,CH 0756,14783,12389
,7-Jan,CH 0757,20309,17554
,7-Jan,CH 0758,17172,13889
,7-Jan,CH 0759,45658,38319
,7-Jan,CH 0760,37689,34852
,7-Jan,CH 0761,26035,24146
,7-Jan,CH 0762,6545,6125
,7-Jan,CH 0763,34743,32640
,7-Jan,CH 0764,25210,22661
,7-Jan,CH 0765,32985,27697
,7-Jan,CH 0766,11439,10273
,7-Jan,CH 0767,21672,17497
,7-Jan,CH 0768,49479,40158
,7-Jan,CH 0769,31590,29359
,7-Jan,CH 0770,37332,33741
,7-Jan,CH 0771,36223,29428
,7-Jan,CH 0772,37413,33404
,7-Jan,CH 0773,28416,25892
,7-Jan,CH 0774,24745,22214
,7-Jan,CH 0775,31071,26672
,7-Jan,CH 0776,32627,27143
,7-Jan,CH 0777,39844,35723
,7-Jan,CH 0778,19672,15794
,7-Jan,CH 0779,44720,36541
,7-Jan,CH 0780,28002,23748
,7-Jan,CH 0781,19146,15621
,7-Jan,CH 0782,40397,37400
,7-Jan,CH 0783,10354,8382
,7-Jan,CH 0784,34501,29361
,7-Jan,CH 0785,28313,24333
,7-Jan,CH 0786,26850,23636
,7-Jan,CH 0787,32279,28339
,7-Jan,CH 0788,21731,19646
,7-Jan,CH 0789,36816,33559
,7-Jan,CH 0790,18669,15636
,7-Jan,CH 0791,43898,39180
,7-Jan,CH 0792,5430,4391
,7-Jan,CH 0793,21914,18799
,7-Jan,CH 0794,47571,38646
,7-Jan,CH 0795,20798,16656
,7-Jan,CH 0796,24906,23088
,7-Jan,CH 0797,22441,18498
,7-Jan,CH 0798,8092,7051
,7-Jan,CH 0799,25068,20495
,7-Jan,CH 0800,21376,18324
,7-Jan,CH 0801,36768,31111
,7-Jan,CH 0802,24356,21793
,7-Jan,CH 0803,17133,13718
,7-Jan,CH 0804,33241,28910
,7-Jan,CH 0805,22900,20718
,7-Jan,CH 0806,25125,21088
,7-Jan,CH 0807,15718,13703
,7-Jan,CH 0808,49078,43864
,7-Jan,CH 0809,30257,24886
,7-Jan,CH 0810,43213,35941
,7-Jan,CH 0811,18825,15751
,7-Jan,CH 0812,65530,61002
,7-Jan,CH 0813,20695,18139
,7-Jan,CH 0814,28310,26432
,7-Jan,CH 0815,15242,12771
,7-Jan,CH 0816,17989,16525
,7-Jan,CH 0817,8106,7180
,7-Jan,CH 0818,27239,24014
,7-Jan,CH 0819,12849,11996
,7-Jan,CH 0820,31787,26036
,7-Jan,CH 0821,18126,14697
,7-Jan,CH 0822,9206,7497
,7-Jan,CH 0823,21829,19203
,7-Jan,CH 0824,17998,14990
,7-Jan,CH 0825,14083,11908
,7-Jan,CH 0826,44755,41290
,7-Jan,CH 0827,20427,18056
,7-Jan,CH 0828,41258,35295
,7-Jan,CH 0829,35964,31523
,7-Jan,CH 0830,24694,21373
,7-Jan,CH 0831,42322,37853
,7-Jan,CH 0832,24303,22366
,7-Jan,CH 0833,35083,30439
,7-Jan,CH 0834,27566,23404
,7-Jan,CH 0835,23587,21788
,7-Jan,CH 0836,14954,14066
,7-Jan,CH 0837,40825,33036
,7-Jan,CH 0838,49151,45134
,7-Jan,CH 0839,43176,40679
,7-Jan,CH 0840,26800,21737
,7-Jan,CH 0841,27110,22051
,7-Jan,CH 0842,30227,25025
,7-Jan,CH 0843,29352,26765
,7-Jan,CH 0844,36573,33717
,7-Jan,CH 0845,18027,16327
,7-Jan,CH 0846,45737,37646
,7-Jan,CH 0847,34527,30438
,7-Jan,CH 0848,54424,45732
,7-Jan,CH 0849,11429,10134
,7-Jan,CH 0850,40483,37434
,7-Jan,CH 0851,46819,41111
,7-Jan,CH 0852,22966,19827
,7-Jan,CH 0853,28721,23850
,7-Jan,CH 0854,27747,23591
,7-Jan,CH 0855,33587,30644
,7-Jan,CH 0856,46861,42816
,7-Jan,CH 0857,37607,33113
,7-Jan,CH 0858,36509,30980
,7-Jan,CH 0859,22661,18420
,7-Jan,CH 0860,69174,61109
,7-Jan,CH 0861,41163,37494
,7-Jan,CH 0862,43475,36430
,7-Jan,CH 0863,24535,21234
,7-Jan,CH 0864,26969,25363
,7-Jan,CH 0865,43557,40798
,7-Jan,CH 0866,38100,31221
,7-Jan,CH 0867,33041,28465
,7-Jan,CH 0868,36006,30755
,7-Jan,CH 0869,36822,33110
,7-Jan,CH 0870,42468,37048
,7-Jan,CH 0871,15742,14192
,7-Jan,CH 0872,29329,24080
,7-Jan,CH 0873,39471,35821
,7-Jan,CH 0874,33790,31251
,7-Jan,CH 0875,46296,43530
,7-Jan,CH 0876,19201,16047
,7-Jan,CH 0877,34358,30337
,7-Jan,CH 0878,29289,24133
,7-Jan,CH 0879,12417,10109
,7-Jan,CH 0880,41172,36101
,7-Jan,CH 0881,33883,30817
,7-Jan,CH 0882,21636,20486
,7-Jan,CH 0883,39249,34354
,7-Jan,CH 0884,18588,15721
,7-Jan,CH 0885,52190,42077
,7-Jan,CH 0886,45232,41213
,7-Jan,CH 0887,45289,36905
,7-Jan,CH 0888,15522,13550
,7-Jan,CH 0889,55814,52443
,7-Jan,CH 0890,51722,47492
,7-Jan,CH 0891,35088,28304
,7-Jan,CH 0892,43089,36395
,7-Jan,CH 0893,30556,26799
,7-Jan,CH 0894,20283,17616
,7-Jan,CH 0895,45057,41481
,7-Jan,CH 0896,27705,22223
,7-Jan,CH 0897,17245,14598
,7-Jan,CH 0898,47190,41619
,7-Jan,CH 0899,1759,1631
,7-Jan,CH 0900,2620,2140
,7-Jan,CH 0901,4774,3924
,7-Jan,CH 0902,632,540
,7-Jan,CH 0903,722,632
,7-Jan,CH 0904,16946,13671
,7-Jan,CH 0905,6338,5206
,7-Jan,CH 0906,40644,35302
,7-Jan,CH 0907,28598,26618
,7-Jan,CH 0908,4931,4003
,7-Jan,CH 0909,36479,33952
,7-Jan,CH 0910,5695,4577
,7-Jan,CH 0911,12289,11104
,7-Jan,CH 0912,16740,14671
,7-Jan,CH 0913,20457,19103
,7-Jan,CH 0914,14953,14197
,7-Jan,CH 0915,912,857
,7-Jan,CH 0916,14371,13230
,7-Jan,CH 0917,8290,6639
,7-Jan,CH 0918,10029,8745
,7-Jan,CH 0919,10493,8673
,7-Jan,CH 0920,24944,20105
,7-Jan,CH 0921,25280,22163
,7-Jan,CH 0922,11345,9486
,7-Jan,CH 0923,20003,18122
,7-Jan,CH 0924,444,365
,7-Jan,CH 0925,2922,2713
,7-Jan,CH 0926,6662,5348
,7-Jan,CH 0927,5566,4813
,7-Jan,CH 0928,11887,10570
,7-Jan,CH 0929,16649,13932
,7-Jan,CH 0930,10810,9364
,7-Jan,CH 0931,15019,12207
,7-Jan,CH 0932,42081,35554
,7-Jan,CH 0933,25621,22852
,7-Jan,CH 0934,12639,10120
,7-Jan,CH 0935,3356,3047
,7-Jan,CH 0936,6397,5437
,7-Jan,CH 0937,2271,1850
,7-Jan,CH 0938,7840,6508
,7-Jan,CH 0939,5362,4326
,7-Jan,CH 0940,16772,14559
,7-Jan,CH 0941,41086,34169
,7-Jan,CH 0942,13658,11963
,7-Jan,CH 0943,18652,17595
,7-Jan,CH 0944,3352,2762
,7-Jan,CH 0945,33687,27080
,7-Jan,CH 0946,18430,15926
,7-Jan,CH 0947,14744,13436
,7-Jan,CH 0948,41836,39695
,7-Jan,CH 0949,25009,22944
,7-Jan,CH 0950,25436,23285
,7-Jan,CH 0951,40383,35767
,7-Jan,CH 0952,22291,18442
,7-Jan,CH 0953,20563,17016
,7-Jan,CH 0954,51776,43955
,7-Jan,CH 0955,45261,40616
,7-Jan,CH 0956,15204,13832
,7-Jan,CH 0957,35117,32069
,7-Jan,CH 0958,36649,32099
,7-Jan,CH 0959,19246,15448
,7-Jan,CH 0960,13417,11483
,7-Jan,CH 0961,16162,13277
,7-Jan,CH 0962,49803,44820
,7-Jan,CH 0963,38523,35782
,7-Jan,CH 0964,11888,10483
,7-Jan,CH 0965,35695,31441
,7-Jan,CH 0966,20182,16946
,7-Jan,CH 0967,16080,13395
,7-Jan,CH 0968,55112,51373
,7-Jan,CH 0969,43154,39165
,7-Jan,CH 0970,38206,32933
,7-Jan,CH 0971,36352,33240
,7-Jan,CH 0972,16335,13694
,7-Jan,CH 0973,13810,12854
,7-Jan,CH 0974,36484,34442
,7-Jan,CH 0975,14927,12373
,7-Jan,CH 0976,46693,41741
,7-Jan,CH 0977,47922,39844
,7-Jan,CH 0978,25814,22047
,7-Jan,CH 0979,28981,23945
,7-Jan,CH 0980,48803,45801
,7-Jan,CH 0981,26388,24881
,7-Jan,CH 0982,12222,10950
,7-Jan,CH 0983,17728,16309
,7-Jan,CH 0984,19821,16985
,7-Jan,CH 0985,11796,10379
,7-Jan,CH 0986,41863,34347
,7-Jan,CH 0987,26233,24297
,7-Jan,CH 0988,61137,51087
,7-Jan,CH 0989,33170,30641
,7-Jan,CH 0990,28713,23840
,7-Jan,CH 0991,39511,36885
,7-Jan,CH 0992,50223,46729
,7-Jan,CH 0993,7582,7126
,7-Jan,CH 0994,25335,22114
,7-Jan,CH 0995,27571,22997
,7-Jan,CH 0996,42953,36673
,7-Jan,CH 0997,9063,8024
,7-Jan,CH 0998,17001,13896
